0	0
1	1
2	19
3	115
4	353
5	753
6	1278
7	1865
8	2452
9	2989
10	3443
11	3799
12	4054
13	4214
14	4288
15	4289
16	4230
17	4124
18	3982
19	3814
20	3629
21	3432
22	3231
23	3029
24	2830
25	2636
26	2449
27	2271
28	2102
29	1942
30	1792
31	1652
32	1522
33	1400
34	1288
35	1184
36	1088
37	1000
38	918
39	843
40	774
41	711
42	653
43	600
44	551
45	506
46	465
47	427
48	393
49	361
50	332
51	306
52	281
53	259
54	238
55	220
56	202
57	186
58	172
59	159
60	146
61	135
62	125
63	115
64	107
65	99
66	91
67	84
68	78
69	72
70	67
71	62
72	58
73	53
74	49
75	46
76	43
77	40
78	37
79	34
80	32
81	30
82	28
83	26
84	24
85	22
86	21
87	19
88	18
89	17
90	16
91	15
92	14
93	13
94	12
95	11
96	10
97	10
98	9
99	9
100	7
